axis,transform,level,mean_cosine_similarity,mean_drift,n
geometry,rotate,0,1.0,0.0,2000
geometry,rotate,1,0.7537026405334473,0.2462973594665527,2000
geometry,rotate,2,0.688414990901947,0.311585009098053,2000
geometry,rotate,3,0.779725968837738,0.2202740311622619,2000
geometry,shear_x,0,1.0,0.0,2000
geometry,shear_x,1,0.933035969734192,0.0669640302658081,2000
geometry,shear_x,2,0.8987717032432556,0.1012282967567443,2000
geometry,shear_x,3,0.8644697070121765,0.1355302929878235,2000
geometry,translate,0,1.0,0.0,2000
geometry,translate,1,0.9170548915863036,0.0829451084136962,2000
geometry,translate,2,0.900809109210968,0.0991908907890319,2000
geometry,translate,3,0.8515611290931702,0.1484388709068298,2000
