model,axis,transform,level,mean_cosine_similarity,mean_drift,n
dinov2_vits14,geometry,rotate,0,1.0,0.0,2000
dinov2_vits14,geometry,rotate,1,0.5316214561462402,0.46837854385375977,2000
dinov2_vits14,geometry,rotate,2,0.3712325394153595,0.6287674605846405,2000
dinov2_vits14,geometry,rotate,3,0.46188637614250183,0.5381136238574982,2000
dinov2_vits14,geometry,shear_x,0,1.0,0.0,2000
dinov2_vits14,geometry,shear_x,1,0.8875329494476318,0.11246705055236816,2000
dinov2_vits14,geometry,shear_x,2,0.8142786622047424,0.18572133779525757,2000
dinov2_vits14,geometry,shear_x,3,0.7358320355415344,0.2641679644584656,2000
dinov2_vits14,geometry,translate,0,1.0,0.0,2000
dinov2_vits14,geometry,translate,1,0.9333402514457703,0.06665974855422974,2000
dinov2_vits14,geometry,translate,2,0.8940311074256897,0.1059688925743103,2000
dinov2_vits14,geometry,translate,3,0.8393426537513733,0.1606573462486267,2000
