model,dataset,image_id,image_path,true_label,true_label_name,subtype,pred_label,pred_label_name,confidence,correct
openclip_vit_b_32,natural_gallery,0,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\0b5339d06b77c35846b530241dea78e0-hi.png,0,airplane,abstract,0,airplane,0.10632850229740143,1
openclip_vit_b_32,natural_gallery,1,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\1000_F_567598988_swwHpnmTEBkccJN06fGj6erEi6HmccKw.png,0,airplane,abstract,0,airplane,0.11556266993284225,1
openclip_vit_b_32,natural_gallery,2,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\10131085-HIXOVUFI-7.png,0,airplane,abstract,0,airplane,0.10906527191400528,1
openclip_vit_b_32,natural_gallery,3,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\17633647_2_425976236-3937377533150729-1560384486696904830-n.png,0,airplane,abstract,0,airplane,0.10828767716884613,1
openclip_vit_b_32,natural_gallery,4,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\20186686.png,0,airplane,abstract,0,airplane,0.11420717090368271,1
openclip_vit_b_32,natural_gallery,5,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\2495203 2x3 202057-Canvas Wall Art-800x800.png,0,airplane,abstract,8,ship,0.10147267580032349,0
openclip_vit_b_32,natural_gallery,6,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\360_F_364340472_Vf46lZib2mxWnT452XlgVgd3TnN1YcDt.png,0,airplane,abstract,0,airplane,0.10996450483798981,1
openclip_vit_b_32,natural_gallery,7,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\40753897.png,0,airplane,abstract,0,airplane,0.1156330481171608,1
openclip_vit_b_32,natural_gallery,8,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\5-panels-yellow-aircraft-canvas-art.png,0,airplane,abstract,0,airplane,0.11034118384122849,1
openclip_vit_b_32,natural_gallery,9,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\5f89d677-76d9-4ea1-b988-e6e8b84c16cc.png,0,airplane,abstract,0,airplane,0.10941353440284729,1
openclip_vit_b_32,natural_gallery,10,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\6c0349e895e6467d8d6facdc72413039-goods.png,0,airplane,abstract,0,airplane,0.11147870868444443,1
openclip_vit_b_32,natural_gallery,11,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\7eddd4a4e5144dc085ff7bf579e3a76a-goods.png,0,airplane,abstract,0,airplane,0.10528197139501572,1
openclip_vit_b_32,natural_gallery,12,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\7FTHAM-34448D-0101S-hero-WEB.png,0,airplane,abstract,2,bird,0.1073448657989502,0
openclip_vit_b_32,natural_gallery,13,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\80a7338afb08bfa16828d871444bb5a0.png,0,airplane,abstract,0,airplane,0.10320940613746643,1
openclip_vit_b_32,natural_gallery,14,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\81BdqkhAM2L.png,0,airplane,abstract,0,airplane,0.11250262707471848,1
openclip_vit_b_32,natural_gallery,15,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\9242805-YXHPDUCB-32.png,0,airplane,abstract,0,airplane,0.11426540464162827,1
openclip_vit_b_32,natural_gallery,16,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\958709-HSC00001-7.png,0,airplane,abstract,1,automobile,0.1066698431968689,0
openclip_vit_b_32,natural_gallery,17,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\ab7da004aa80f057155b2338011571f4.png,0,airplane,abstract,0,airplane,0.11660148203372955,1
openclip_vit_b_32,natural_gallery,18,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\abstract-airplane-transportation-background-illustration-free-vector.png,0,airplane,abstract,0,airplane,0.11623035371303558,1
openclip_vit_b_32,natural_gallery,19,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\abstract-airplane-watercolor-art-vector-4600974.png,0,airplane,abstract,0,airplane,0.11578167974948883,1
openclip_vit_b_32,natural_gallery,20,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\abstract-colorful-beautiful-high-angle-view-from-the-capitals-aircraft-on-watercolor-illustration-painting-background-2A0PD4H.png,0,airplane,abstract,0,airplane,0.1144225224852562,1
openclip_vit_b_32,natural_gallery,21,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\abstract-cubist-airplanes_u-l-q1k1nln0.png,0,airplane,abstract,0,airplane,0.1035645455121994,1
openclip_vit_b_32,natural_gallery,22,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\aerobatic-aircraft-multi-panel-canvas-wall-art-2-347511.png,0,airplane,abstract,0,airplane,0.10631537437438965,1
