image_id,image_path,true_label,true_label_name,subtype,cosine_similarity_to_cifar_prototype,drift_from_cifar_prototype
0,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\0b5339d06b77c35846b530241dea78e0-hi.png,0,airplane,abstract,0.444860577583313,0.555139422416687
1,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\1000_F_567598988_swwHpnmTEBkccJN06fGj6erEi6HmccKw.png,0,airplane,abstract,0.6337119340896606,0.36628806591033936
2,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\10131085-HIXOVUFI-7.png,0,airplane,abstract,0.4563125967979431,0.5436874032020569
3,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\17633647_2_425976236-3937377533150729-1560384486696904830-n.png,0,airplane,abstract,0.4415484070777893,0.5584515929222107
4,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\20186686.png,0,airplane,abstract,0.4190015196800232,0.5809984803199768
5,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\2495203 2x3 202057-Canvas Wall Art-800x800.png,0,airplane,abstract,0.37857580184936523,0.6214241981506348
6,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\360_F_364340472_Vf46lZib2mxWnT452XlgVgd3TnN1YcDt.png,0,airplane,abstract,0.555185079574585,0.44481492042541504
7,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\40753897.png,0,airplane,abstract,0.4140773117542267,0.5859226882457733
8,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\5-panels-yellow-aircraft-canvas-art.png,0,airplane,abstract,0.49117010831832886,0.5088298916816711
9,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\5f89d677-76d9-4ea1-b988-e6e8b84c16cc.png,0,airplane,abstract,0.5287297964096069,0.47127020359039307
10,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\6c0349e895e6467d8d6facdc72413039-goods.png,0,airplane,abstract,0.485609233379364,0.514390766620636
11,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\7eddd4a4e5144dc085ff7bf579e3a76a-goods.png,0,airplane,abstract,0.41834166646003723,0.5816583335399628
12,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\7FTHAM-34448D-0101S-hero-WEB.png,0,airplane,abstract,0.3815634846687317,0.6184365153312683
13,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\80a7338afb08bfa16828d871444bb5a0.png,0,airplane,abstract,0.3327343761920929,0.6672656238079071
14,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\81BdqkhAM2L.png,0,airplane,abstract,0.5128695964813232,0.48713040351867676
15,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\9242805-YXHPDUCB-32.png,0,airplane,abstract,0.6042671203613281,0.3957328796386719
16,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\958709-HSC00001-7.png,0,airplane,abstract,0.41964101791381836,0.5803589820861816
17,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\ab7da004aa80f057155b2338011571f4.png,0,airplane,abstract,0.5953991413116455,0.4046008586883545
18,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\abstract-airplane-transportation-background-illustration-free-vector.png,0,airplane,abstract,0.6780194044113159,0.3219805955886841
19,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\abstract-airplane-watercolor-art-vector-4600974.png,0,airplane,abstract,0.5255672931671143,0.47443270683288574
20,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\abstract-colorful-beautiful-high-angle-view-from-the-capitals-aircraft-on-watercolor-illustration-painting-background-2A0PD4H.png,0,airplane,abstract,0.5561604499816895,0.44383955001831055
21,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\abstract-cubist-airplanes_u-l-q1k1nln0.png,0,airplane,abstract,0.4313845634460449,0.5686154365539551
22,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\aerobatic-aircraft-multi-panel-canvas-wall-art-2-347511.png,0,airplane,abstract,0.3742236793041229,0.6257763206958771
