split,image_path,true_label,true_label_name,subtype,source_path
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_cartoon_00000.png,0,airplane,cartoon,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\cartoon\default (12).png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_sketch_00001.png,0,airplane,sketch,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\sketch\images (1).png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_abstract_00002.png,0,airplane,abstract,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\default (8).png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_real_00003.png,0,airplane,real,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\real\airplane (256).png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_sketch_00004.png,0,airplane,sketch,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\sketch\images (11).png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_real_00005.png,0,airplane,real,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\real\airplane (261).png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_sketch_00006.png,0,airplane,sketch,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\sketch\v4-459px-Draw-an-Airplane-Step-6.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_real_00007.png,0,airplane,real,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\real\airplane (157).png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_abstract_00008.png,0,airplane,abstract,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\5f89d677-76d9-4ea1-b988-e6e8b84c16cc.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_real_00009.png,0,airplane,real,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\real\airplane (303).png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_cartoon_00010.png,0,airplane,cartoon,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\cartoon\a_08.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_painting_00011.png,0,airplane,painting,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\painting\1_ceb9ab32-b97e-49db-a68a-fdcafb197120-350x440.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_cartoon_00012.png,0,airplane,cartoon,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\cartoon\cartoon-airplane-pink-yellow-illustration-which-can-be-used-your-stuff-379192775.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_real_00013.png,0,airplane,real,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\real\airplane (32).png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_painting_00014.png,0,airplane,painting,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\painting\Mehar+Abstract+Airplane+Window.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_cartoon_00015.png,0,airplane,cartoon,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\cartoon\flying-airplane-jet-aircraft-airliner-600nw-2439468053.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_painting_00016.png,0,airplane,painting,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\painting\9242805-YXHPDUCB-7.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_painting_00017.png,0,airplane,painting,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\painting\maxresdefault (1).png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_painting_00018.png,0,airplane,painting,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\painting\default (28).png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_cartoon_00019.png,0,airplane,cartoon,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\cartoon\cartoon-plane-01.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_sketch_00020.png,0,airplane,sketch,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\sketch\one-line-drawing-of-airplane-flying-on-the-sky-vector-45726835.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_abstract_00021.png,0,airplane,abstract,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\Airplane_20wall_20art_20Propeller_20art_20Plane_c9f4ffbe-f212-4e65-907a-64b988c0b1f0.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_real_00022.png,0,airplane,real,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\real\airplane (179).png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_painting_00023.png,0,airplane,painting,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\painting\default (30).png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_painting_00024.png,0,airplane,painting,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\painting\yellow-aircraft-canvas-wall-art-set-1_1200x.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_real_00025.png,0,airplane,real,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\real\airplane (166).png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_cartoon_00026.png,0,airplane,cartoon,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\cartoon\360_F_190349364_V4JXTr3j1oZOtsUmHH0t0ck4rSdIFYOb.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_painting_00027.png,0,airplane,painting,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\painting\A1.-AIR-phil-sandusky.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_painting_00028.png,0,airplane,painting,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\painting\comic-style-airplane-illustration_23-2151813589.png
train,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\natural_abstraction\yolo_cls_dataset\train\airplane\airplane_real_00029.png,0,airplane,real,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\real\airplane (71).png
